,Name,DeptId,Department,x,y
Albina.Hafon@gastech.com.kronos,Albina Hafon,3,Facilities,-0.9611830115318298,-11.948701858520508
Mat.Bramar@gastech.com.kronos,Mat Bramar,0,Administration,-0.6577653288841248,-5.851073741912842
Axel.Calzas@gastech.com.kronos,Axel Calzas,1,Engineering,1.8566904067993164,-8.35911750793457
Sten.Sanjorge Jr.@gastech.com.kronos,Sten Sanjorge Jr.,2,Executive,0.7240749001502991,-7.005583763122559
Marin.Onda@gastech.com.kronos,Marin Onda,1,Engineering,1.8566904067993164,-8.35911750793457
Cecilia.Morluniau@gastech.com.kronos,Cecilia Morluniau,3,Facilities,-1.31428062915802,-11.30023193359375
Vira.Frente@gastech.com.kronos,Vira Frente,1,Engineering,1.8566908836364746,-8.359116554260254
Adra.Nubarron@gastech.com.kronos,Adra Nubarron,1,Engineering,2.0081677436828613,-9.08333969116211
Ada.Campo-Corrente@gastech.com.kronos,Ada Campo-Corrente,2,Executive,0.7849002480506897,-6.069152355194092
Varja.Lagos@gastech.com.kronos,Varja Lagos,5,Security,-0.6154027581214905,-7.9878973960876465
Rachel.Pantanal@gastech.com.kronos,Rachel Pantanal,0,Administration,-0.6577659249305725,-5.851076602935791
Brand.Tempestad@gastech.com.kronos,Brand Tempestad,1,Engineering,1.8560832738876343,-8.3585786819458
Lars.Azada@gastech.com.kronos,Lars Azada,1,Engineering,2.5996925830841064,-9.21270751953125
Isande.Borrasca@gastech.com.kronos,Isande Borrasca,1,Engineering,1.8560830354690552,-8.3585786819458
Varro.Awelon@gastech.com.kronos,Varro Awelon,3,Facilities,-0.4584474563598633,-10.608866691589355
Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,5,Security,-1.3905845880508423,-7.978400707244873
Isia.Vann@gastech.com.kronos,Isia Vann,5,Security,-1.3905850648880005,-7.978401184082031
Nils.Calixto@gastech.com.kronos,Nils Calixto,4,Information Technology,2.2079124450683594,-5.822874546051025
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,2.2060437202453613,-5.822476387023926
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,2.961652994155884,-8.598002433776855
Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,3,Facilities,-0.6347599029541016,-11.03810977935791
Ruscella.Mies.Haber@gastech.com.kronos,Ruscella Mies Haber,0,Administration,-0.6577653288841248,-5.85107421875
Irene.Nant@gastech.com.kronos,Irene Nant,3,Facilities,-1.3142805099487305,-11.30023193359375
Sten.Sanjorge Jr.@gastech.com.tethys,Sten.Sanjorge Jr.@gastech.com.tethys,6,Unknown,0.8614197373390198,-5.241921424865723
