,Name,DeptId,Department,x,y
Linda.Lagos@gastech.com.kronos,Linda Lagos,0,Administration,4.9287261962890625,4.091897010803223
Brand.Tempestad@gastech.com.kronos,Brand Tempestad,1,Engineering,2.7781102657318115,-0.04369080066680908
Claudio.Hawelon@gastech.com.kronos,Claudio Hawelon,3,Facilities,0.5838819742202759,2.1133108139038086
Birgitta.Frente@gastech.com.kronos,Birgitta Frente,1,Engineering,2.9563584327697754,-0.017584290355443954
Vira.Frente@gastech.com.kronos,Vira Frente,1,Engineering,2.381911516189575,-0.14203676581382751
Lidelse.Dedos@gastech.com.kronos,Lidelse Dedos,1,Engineering,2.9951798915863037,-0.8498786091804504
Elsa.Orilla@gastech.com.kronos,Elsa Orilla,1,Engineering,2.7567684650421143,-0.7052137851715088
Ada.Campo-Corrente@gastech.com.kronos,Ada Campo-Corrente,2,Executive,3.3190159797668457,1.924214482307434
Sten.Sanjorge Jr.@gastech.com.tethys,Sten.Sanjorge Jr.@gastech.com.tethys,6,Unknown,3.3313279151916504,2.708728313446045
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,2.7960970401763916,0.0010901461355388165
Felix.Balas@gastech.com.kronos,Felix Balas,1,Engineering,3.334916114807129,-0.4910644292831421
Isande.Borrasca@gastech.com.kronos,Isande Borrasca,1,Engineering,2.8886795043945312,-0.016333892941474915
Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,2,Executive,3.4467358589172363,2.098172903060913
Kanon.Herrero@gastech.com.kronos,Kanon Herrero,5,Security,4.6067657470703125,0.8743460774421692
Edvard.Vann@gastech.com.kronos,Edvard Vann,5,Security,4.23228120803833,1.0408732891082764
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,5.297478199005127,-1.172359824180603
Sven.Flecha@gastech.com.kronos,Sven Flecha,4,Information Technology,5.3000383377075195,-1.1691374778747559
Varja.Lagos@gastech.com.kronos,Varja Lagos,5,Security,5.066680431365967,0.8503758907318115
