,Name,DeptId,Department,x,y
Albina.Hafon@gastech.com.kronos,Albina Hafon,3,Facilities,-6.306430339813232,2.730769395828247
Mat.Bramar@gastech.com.kronos,Mat Bramar,0,Administration,-9.30086898803711,5.621685028076172
Axel.Calzas@gastech.com.kronos,Axel Calzas,1,Engineering,-9.438230514526367,0.6907936334609985
Sten.Sanjorge Jr.@gastech.com.kronos,Sten Sanjorge Jr.,2,Executive,-10.119494438171387,2.758260488510132
Marin.Onda@gastech.com.kronos,Marin Onda,1,Engineering,-9.407608985900879,1.528731346130371
Cecilia.Morluniau@gastech.com.kronos,Cecilia Morluniau,3,Facilities,-5.910452842712402,3.36845326423645
Vira.Frente@gastech.com.kronos,Vira Frente,1,Engineering,-9.33073616027832,1.245370864868164
Adra.Nubarron@gastech.com.kronos,Adra Nubarron,1,Engineering,-9.988547325134277,2.1727585792541504
Ada.Campo-Corrente@gastech.com.kronos,Ada Campo-Corrente,2,Executive,-10.238090515136719,3.5977070331573486
Varja.Lagos@gastech.com.kronos,Varja Lagos,5,Security,-11.282014846801758,2.4896786212921143
Rachel.Pantanal@gastech.com.kronos,Rachel Pantanal,0,Administration,-9.351686477661133,5.747607707977295
Brand.Tempestad@gastech.com.kronos,Brand Tempestad,1,Engineering,-9.41882038116455,1.8122096061706543
Lars.Azada@gastech.com.kronos,Lars Azada,1,Engineering,-9.453761100769043,0.8058252930641174
Isande.Borrasca@gastech.com.kronos,Isande Borrasca,1,Engineering,-9.499700546264648,1.3547207117080688
Varro.Awelon@gastech.com.kronos,Varro Awelon,3,Facilities,-6.444811820983887,3.0013458728790283
Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,5,Security,-11.54909896850586,2.610656976699829
Isia.Vann@gastech.com.kronos,Isia Vann,5,Security,-11.103326797485352,2.2144341468811035
Nils.Calixto@gastech.com.kronos,Nils Calixto,4,Information Technology,-9.076943397521973,3.234978199005127
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,-9.412775039672852,3.042980432510376
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,-9.5060396194458,1.7384767532348633
Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,3,Facilities,-6.570192813873291,2.791289806365967
Ruscella.Mies.Haber@gastech.com.kronos,Ruscella Mies Haber,0,Administration,-9.306342124938965,5.606091022491455
Irene.Nant@gastech.com.kronos,Irene Nant,3,Facilities,-6.176284313201904,2.4207863807678223
Sten.Sanjorge Jr.@gastech.com.tethys,Sten.Sanjorge Jr.@gastech.com.tethys,6,Unknown,-11.097280502319336,4.302011013031006
Stenig.Fusil@gastech.com.kronos,Stenig Fusil,5,Security,-11.520086288452148,2.8419198989868164
Anda.Ribera@gastech.com.kronos,Anda Ribera,0,Administration,-9.287425994873047,5.647516250610352
Lidelse.Dedos@gastech.com.kronos,Lidelse Dedos,1,Engineering,-10.364192962646484,1.1277048587799072
Sven.Flecha@gastech.com.kronos,Sven Flecha,4,Information Technology,-9.15212631225586,3.180912733078003
Inga.Ferro@gastech.com.kronos,Inga Ferro,5,Security,-11.250436782836914,2.466508150100708
Felix.Resumir@gastech.com.kronos,Felix Resumir,5,Security,-11.256730079650879,2.773620367050171
Kanon.Herrero@gastech.com.kronos,Kanon Herrero,5,Security,-11.743122100830078,2.47513484954834
Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,4,Information Technology,-9.06284236907959,3.2020561695098877
Carla.Forluniau@gastech.com.kronos,Carla Forluniau,0,Administration,-9.289989471435547,5.649501800537109
Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,2,Executive,-10.340761184692383,3.397441864013672
Valeria.Morlun@gastech.com.kronos,Valeria Morlun,3,Facilities,-5.9911088943481445,2.9196243286132812
Emile.Arpa@gastech.com.kronos,Emile Arpa,3,Facilities,-6.6619672775268555,2.7029964923858643
Linda.Lagos@gastech.com.kronos,Linda Lagos,0,Administration,-9.308369636535645,5.6060075759887695
Claudio.Hawelon@gastech.com.kronos,Claudio Hawelon,3,Facilities,-6.315483570098877,3.34267258644104
Henk.Mies@gastech.com.kronos,Henk Mies,3,Facilities,-6.146572113037109,2.976732015609741
Birgitta.Frente@gastech.com.kronos,Birgitta Frente,1,Engineering,-9.607755661010742,1.7620419263839722
Edvard.Vann@gastech.com.kronos,Edvard Vann,5,Security,-10.51042366027832,2.628143310546875
Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,2,Executive,-10.064471244812012,3.3239002227783203
Cornelia.Lais@gastech.com.kronos,Cornelia Lais,0,Administration,-9.307799339294434,5.6198410987854
Felix.Balas@gastech.com.kronos,Felix Balas,1,Engineering,-10.211602210998535,1.2731518745422363
Linnea.Bergen@gastech.com.kronos,Linnea Bergen,4,Information Technology,-10.073421478271484,2.8130452632904053
Benito.Hawelon@gastech.com.kronos,Benito Hawelon,3,Facilities,-5.972074508666992,2.6615235805511475
Hideki.Cocinaro@gastech.com.kronos,Hideki Cocinaro,5,Security,-11.029212951660156,2.4621775150299072
Minke.Mies@gastech.com.kronos,Minke Mies,5,Security,-10.289679527282715,2.771171808242798
Dante.Coginian@gastech.com.kronos,Dante Coginian,3,Facilities,-5.781634330749512,3.218249559402466
Elsa.Orilla@gastech.com.kronos,Elsa Orilla,1,Engineering,-8.825542449951172,1.1352652311325073
Dylan.Scozzese@gastech.com.kronos,Dylan Scozzese,3,Facilities,-6.146572113037109,2.976732015609741
Orhan.Strum@gastech.com.kronos,Orhan Strum,2,Executive,-10.462333679199219,3.803457736968994
Adan.Morlun@gastech.com.kronos,Adan Morlun,3,Facilities,-6.4448113441467285,3.0013458728790283
Kare.Orilla@gastech.com.kronos,Kare Orilla,1,Engineering,-9.406512260437012,1.5309237241744995
Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,5,Security,-11.025280952453613,2.8887431621551514
