,Name,DeptId,Department,x,y
Linda.Lagos@gastech.com.kronos,Linda Lagos,0,Administration,1.5841152667999268,-1.578479528427124
Brand.Tempestad@gastech.com.kronos,Brand Tempestad,1,Engineering,-0.34480518102645874,0.940137505531311
Claudio.Hawelon@gastech.com.kronos,Claudio Hawelon,3,Facilities,-2.5919954776763916,-4.088021755218506
Birgitta.Frente@gastech.com.kronos,Birgitta Frente,1,Engineering,0.3403366804122925,0.800926148891449
Vira.Frente@gastech.com.kronos,Vira Frente,1,Engineering,-0.5528019666671753,1.0005605220794678
Lidelse.Dedos@gastech.com.kronos,Lidelse Dedos,1,Engineering,-0.8202768564224243,0.6463344693183899
Elsa.Orilla@gastech.com.kronos,Elsa Orilla,1,Engineering,0.07235827296972275,0.713893711566925
Ada.Campo-Corrente@gastech.com.kronos,Ada Campo-Corrente,2,Executive,-0.35856887698173523,-1.8332910537719727
Sten.Sanjorge Jr.@gastech.com.tethys,Sten.Sanjorge Jr.@gastech.com.tethys,6,Unknown,-0.07444946467876434,-2.484323024749756
Gustav.Cazar@gastech.com.kronos,Gustav Cazar,1,Engineering,-0.12125833332538605,1.4647632837295532
Felix.Balas@gastech.com.kronos,Felix Balas,1,Engineering,-0.38966214656829834,0.43332692980766296
Isande.Borrasca@gastech.com.kronos,Isande Borrasca,1,Engineering,-0.2482665330171585,1.0585992336273193
Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,2,Executive,-0.35113146901130676,-1.880702018737793
Kanon.Herrero@gastech.com.kronos,Kanon Herrero,5,Security,-1.6501137018203735,-0.9957197308540344
Edvard.Vann@gastech.com.kronos,Edvard Vann,5,Security,-1.5648971796035767,-1.0619592666625977
Isak.Baza@gastech.com.kronos,Isak Baza,4,Information Technology,-3.279451370239258,0.9046505093574524
Sven.Flecha@gastech.com.kronos,Sven Flecha,4,Information Technology,-3.2443759441375732,0.8684160113334656
Varja.Lagos@gastech.com.kronos,Varja Lagos,5,Security,-1.784245491027832,-0.8547221422195435
Dante.Coginian@gastech.com.kronos,Dante Coginian,3,Facilities,-1.991844892501831,-3.7118101119995117
Ruscella.Mies.Haber@gastech.com.kronos,Ruscella Mies Haber,0,Administration,1.7430254220962524,-1.9251759052276611
Anda.Ribera@gastech.com.kronos,Anda Ribera,0,Administration,1.6681833267211914,-1.5498861074447632
Axel.Calzas@gastech.com.kronos,Axel Calzas,1,Engineering,-0.29368025064468384,1.319386601448059
Rachel.Pantanal@gastech.com.kronos,Rachel Pantanal,0,Administration,1.819521188735962,-1.4562749862670898
Varro.Awelon@gastech.com.kronos,Varro Awelon,3,Facilities,-1.9897541999816895,-3.1892614364624023
Valeria.Morlun@gastech.com.kronos,Valeria Morlun,3,Facilities,-2.2784738540649414,-4.108755111694336
Albina.Hafon@gastech.com.kronos,Albina Hafon,3,Facilities,-2.044606924057007,-4.5167436599731445
Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,2,Executive,-0.5111474990844727,-1.5533345937728882
Cornelia.Lais@gastech.com.kronos,Cornelia Lais,0,Administration,1.5804963111877441,-1.5764745473861694
Lars.Azada@gastech.com.kronos,Lars Azada,1,Engineering,-0.0314321294426918,-0.003414494451135397
Henk.Mies@gastech.com.kronos,Henk Mies,3,Facilities,-1.7548370361328125,-4.296194553375244
Sten.Sanjorge Jr.@gastech.com.kronos,Sten Sanjorge Jr.,2,Executive,-0.9970664381980896,-1.018467664718628
Hideki.Cocinaro@gastech.com.kronos,Hideki Cocinaro,5,Security,-1.6674220561981201,-0.6272947788238525
Carla.Forluniau@gastech.com.kronos,Carla Forluniau,0,Administration,1.588093638420105,-1.5869033336639404
Emile.Arpa@gastech.com.kronos,Emile Arpa,3,Facilities,-1.5500011444091797,-3.9165685176849365
Adan.Morlun@gastech.com.kronos,Adan Morlun,3,Facilities,-1.612027883529663,-3.9925804138183594
Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,4,Information Technology,-3.2688076496124268,0.8923766613006592
Dylan.Scozzese@gastech.com.kronos,Dylan Scozzese,3,Facilities,-2.0445618629455566,-4.516749858856201
Kare.Orilla@gastech.com.kronos,Kare Orilla,1,Engineering,0.13245214521884918,0.6934724450111389
Linnea.Bergen@gastech.com.kronos,Linnea Bergen,4,Information Technology,-0.9671690464019775,-1.028891682624817
Orhan.Strum@gastech.com.kronos,Orhan Strum,2,Executive,-0.34755271673202515,-1.8459845781326294
Marin.Onda@gastech.com.kronos,Marin Onda,1,Engineering,-0.01380831003189087,0.6780924797058105
Mat.Bramar@gastech.com.kronos,Mat Bramar,0,Administration,1.5814495086669922,-1.5843113660812378
Isia.Vann@gastech.com.kronos,Isia Vann,5,Security,-2.8417892456054688,-1.0451472997665405
Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,3,Facilities,-1.7545126676559448,-3.4654853343963623
Adra.Nubarron@gastech.com.kronos,Adra Nubarron,1,Engineering,-0.6227482557296753,0.9780709147453308
Nils.Calixto@gastech.com.kronos,Nils Calixto,4,Information Technology,-3.254479169845581,0.8758721947669983
Stenig.Fusil@gastech.com.kronos,Stenig Fusil,5,Security,-1.394709587097168,-1.2294095754623413
Minke.Mies@gastech.com.kronos,Minke Mies,5,Security,-2.3411519527435303,-1.26140296459198
Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,5,Security,-2.234957218170166,-0.9921455383300781
Irene.Nant@gastech.com.kronos,Irene Nant,3,Facilities,-2.4280319213867188,-4.1729607582092285
Inga.Ferro@gastech.com.kronos,Inga Ferro,5,Security,-2.1748814582824707,-1.4153916835784912
Felix.Resumir@gastech.com.kronos,Felix Resumir,5,Security,-1.6503150463104248,-0.9959965348243713
Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,5,Security,-2.366575002670288,-1.0305513143539429
Benito.Hawelon@gastech.com.kronos,Benito Hawelon,3,Facilities,-2.171954393386841,-3.8615164756774902
Cecilia.Morluniau@gastech.com.kronos,Cecilia Morluniau,3,Facilities,-2.171954393386841,-3.8615164756774902
